channel,model,radial_absolute_error,radial_persistence_absolute_error,radial_skill,source_snapshot,target_snapshot
vel3,FNO,0.04110528024387468,0.019506218643956123,-1.1072910641556293,171,172
Bcc1,3D CNN/U-Net,0.2569782627504216,0.11743167325423114,-1.1883215629064754,171,172
Bcc2,3D CNN/U-Net,0.1736031156301082,0.12430757292680103,-0.3965610585312853,171,172
Bcc3,3D CNN/U-Net,0.27296456883657555,0.3241161104025967,0.15781857156833057,171,172
rho,3D CNN/U-Net,4.477415367538326,0.3865280240778477,-10.58367592678497,171,172
press,3D CNN/U-Net,409.0387725841672,0.07053169146691822,-5798.361451242388,171,172
vel1,3D CNN/U-Net,0.0733791746440213,0.05720997558085557,-0.28262901528971285,171,172
vel2,3D CNN/U-Net,0.008572860282468802,0.0012885126624432074,-5.653299212607979,171,172
vel3,3D CNN/U-Net,0.03572739013786712,0.019506218643956123,-0.8315897504274627,171,172
Bcc1,Differential LocalNO,0.947354500868552,0.11743167325423114,-7.0672826556562605,171,172
Bcc2,Differential LocalNO,0.08197129722803423,0.12430757292680103,0.34057680237789434,171,172
Bcc3,Differential LocalNO,0.6498959125016203,0.3241161104025967,-1.0051330114210009,171,172
rho,Differential LocalNO,33.306603529408285,0.3865280240778477,-85.16866424852097,171,172
press,Differential LocalNO,9.642226934571742,0.07053169146691822,-135.70772292614416,171,172
vel1,Differential LocalNO,0.1110260190413942,0.05720997558085557,-0.9406758683978067,171,172
